,part_of_speech,synonyms
5484,adjective,"{'worrisome': 1.551879294325299e-07, 'unreassuring': 7.963749445248009e-10}"
5485,satellite,"{'unrecognizable': 2.1334659448283215e-07, 'unrecognisable': 6.587448208413078e-08}"
5486,adverb,"{'unrecognizably': 6.59569870946624e-09, 'unrecognisable': 6.587448208413078e-08}"
5487,satellite,"{'unrecognised': 1.6351976231685987e-07, 'unrecognized': 6.333218477708432e-07}"
5488,adjective,"{'unrecorded': 7.496845856955911e-07, 'live': 9.747609475076205e-05}"
5489,satellite,"{'unreflective': 6.737354094065802e-08, 'unthoughtful': 1.4054276415890659e-08, 'unthinking': 6.922317787218637e-07}"
5490,satellite,"{'unredeemable': 2.191444572787547e-08, 'unregenerate': 4.185000852453254e-07, 'unreformable': 4.152546947144552e-09, 'irredeemable': 2.438367330563022e-07, 'irreclaimable': 1.2356868039322527e-07}"
5491,satellite,"{'unrested': 5.886542852565854e-09, 'unrefreshed': 3.994291926263055e-08}"
5492,adjective,"{'stubborn': 3.2314932883315568e-06, 'unregenerated': 3.418244838932782e-08, 'unregenerate': 4.185000852453254e-07, 'obstinate': 5.018809692745584e-06}"
5493,satellite,"{'unregenerate': 4.185000852453254e-07, 'unreformable': 4.152546947144552e-09}"
5494,adjective,"{'unregenerate': 4.185000852453254e-07, 'unregenerated': 3.418244838932782e-08}"
5495,adjective,"{'unregretful': 1.5780111521222497e-09, 'unregretting': 1.412835450081288e-09}"
5496,satellite,"{'inexorable': 1.4550012448183515e-06, 'stern': 9.753594882155574e-06, 'unrelenting': 9.766752658872264e-07, 'unforgiving': 2.547888443216039e-07, 'brutal': 4.170078460679552e-06, 'relentless': 1.551558997975749e-06, 'persistent': 7.235476843472781e-06, 'grim': 3.9529118711196665e-06, 'unappeasable': 6.676184771800388e-08}"
5497,adjective,"{'unsolved': 8.416914650841575e-07, 'unresolved': 1.0095688828168634e-06}"
5498,satellite,"{'dissonant': 3.075883901801442e-07, 'undetermined': 1.5304693558584273e-06, 'open': 0.000160496763758117, 'undecided': 1.3268341240168156e-06, 'unresolved': 1.0095688828168634e-06}"
5499,satellite,"{'mad': 1.1963014573766837e-05, 'delirious': 9.750897539426905e-07, 'unrestrained': 1.6062726172045486e-06, 'frantic': 2.5088526329846656e-06, 'excited': 2.348867062808506e-05}"
5500,satellite,"{'nonsensitive': 1.9916076786556005e-08, 'unrestricted': 1.973938793712957e-06, 'unexclusive': 5.362950168155656e-09}"
5501,adjective,"{'short': 0.00017206739051206645, 'forgetful': 1.1573304470550107e-06, 'unretentive': 5.209595407646113e-09}"
5502,adjective,"{'unrhythmic': 3.9101423132032566e-09, 'unrhythmical': 9.432640662073354e-09}"
5503,satellite,"{'unruffled': 4.309127969102349e-07, 'tranquil': 3.434988571606417e-06, 'unflurried': 3.5430074828236754e-09, 'still': 0.00034837111209483145, 'unperturbed': 2.663215300099881e-07, 'quiet': 3.1851982285780395e-05, 'placid': 1.8009255661613843e-06, 'smooth': 2.6607931167312756e-05, 'unflustered': 4.555118167430028e-09}"
5504,satellite,"{'unseasoned': 1.0164378955970837e-07, 'unsalted': 1.9294046435868774e-07}"
5505,satellite,"{'raw': 2.302070428075957e-05, 'unsanded': 5.4645652545742625e-09}"
5506,satellite,"{'unsated': 4.879354833774396e-08, 'unsatisfied': 1.3860510695648325e-06, 'unsatiated': 2.1150146651322462e-08}"
5507,satellite,"{'ungratified': 7.849922393083159e-08, 'unsatisfied': 1.3860510695648325e-06, 'unsatiated': 2.1150146651322462e-08, 'unsated': 4.879354833774396e-08, 'restless': 6.28636957254926e-06}"
5508,adjective,"{'offensive': 1.081851858704256e-05, 'unsavoury': 2.4347460205978974e-07, 'unsavory': 2.3609433847637658e-07}"
5509,satellite,"{'unsavoury': 2.4347460205978974e-07, 'distasteful': 1.1573045012721913e-06, 'unsavory': 2.3609433847637658e-07}"
5510,satellite,"{'unschooled': 6.781553039575607e-08, 'untaught': 4.793385316124033e-07, 'untutored': 5.336692688707252e-07}"
5511,verb,"{'unseal': 5.756590910014143e-08, 'unsealed': 3.541346519262468e-07}"
5512,adjective,"{'uncertain': 1.6386711081316586e-05, 'unsealed': 3.541346519262468e-07}"
5513,satellite,"{'untried': 1.2872867517409985e-06, 'untested': 2.53789678535502e-07, 'young': 0.00018755112675043048, 'unsalted': 1.9294046435868774e-07, 'unseasoned': 1.0164378955970837e-07}"
5514,satellite,"{'unseeded': 1.9905177114650223e-08, 'unsown': 4.004400318573837e-08}"
5515,satellite,"{'sightless': 2.933747537155082e-07, 'unseeing': 9.986401179258711e-08, 'unobservant': 1.1885347732157719e-07, 'eyeless': 1.0962573313804925e-07}"
5516,satellite,"{'unserviceable': 4.612550553852282e-07, 'unusable': 2.446637873463124e-07, 'unuseable': 6.120790885635632e-09}"
5517,adjective,"{'unservile': 9.087113462084706e-10, 'unsubmissive': 1.2875033104276162e-08}"
5518,verb,"{'unsettle': 3.182829601704829e-07, 'unnerve': 6.516763436352555e-08, 'faze': 3.671317782019017e-08, 'enervate': 1.6018869402685513e-07, 'unsettled': 3.5648545542403825e-06}"
5519,verb,"{'unsex': 1.9057375171271922e-08, 'desexualise': 1.6709775039056538e-10, 'sterilise': 3.592797046119535e-08, 'fix': 1.8635025428554763e-05, 'desex': 6.319922220805675e-10, 'sterilize': 2.51872765085014e-07, 'unsexed': 5.529611502176006e-08, 'desexualize': 1.404918126883026e-09}"
5520,adjective,"{'unshod': 7.593366705644018e-08, 'unshoed': 2.744254298848265e-10}"
5521,satellite,"{'amateurish': 1.3677509772636017e-07, 'inexpert': 1.2006949323357246e-07, 'incompetent': 4.894238228027928e-06, 'unskilled': 2.5038638110962746e-06, 'amateur': 4.329944799645398e-06}"
5522,satellite,"{'wide-awake': 2.3932594261479796e-07, 'unsleeping': 4.6076952801419245e-08}"
5523,satellite,"{'upright': 1.0606365970161924e-05, 'unsloped': 3.754082709429142e-10}"
5524,adjective,"{'rough': 2.3576413117438684e-05, 'unsmooth': 7.839246468236252e-09}"
5525,verb,"{'unsnarled': 2.1919780867487907e-09, 'straighten out': 2.2646309426762846e-07, 'disentangle': 4.20890930235017e-07, 'unsnarl': 4.624222186404168e-09}"
5526,satellite,"{'unsoiled': 4.974156567000887e-08, 'unspotted': 4.896425686696497e-07, 'unstained': 4.1009715518792564e-07}"
5527,satellite,"{'bumpkinly': 4.5075336697249977e-10, 'unworldly': 1.4472974632102634e-07, 'uncomplicated': 6.462632587962201e-07, 'rustic': 2.8877535638178106e-06, 'unsophisticated': 7.420144048033552e-07, 'hick': 8.018564094395744e-08}"
5528,satellite,"{'unspecific': 8.075744705109151e-08, 'broad': 5.1829632895879484e-05}"
5529,satellite,"{'unspent': 1.2814177011021516e-07, 'unexpended': 1.904087624216069e-06}"
5530,satellite,"{'good': 0.0005293735133533647, 'unspoilt': 7.702819700804351e-08, 'uncorrupted': 4.100893548622299e-07, 'unspoiled': 2.6215681584445876e-07, 'undecomposed': 2.511312739633701e-07}"
5531,satellite,"{'unspoken': 5.951173373769314e-07, 'unverbalised': 4.1540885645632926e-10, 'mute': 3.2989945316552184e-06, 'unexpressed': 2.1651330459723194e-07, 'unsaid': 2.8832120830406796e-07, 'tongueless': 3.879925947676681e-08, 'unverbalized': 6.352759273904266e-09, 'unvoiced': 7.010200242711959e-08, 'wordless': 1.805263536245001e-07, 'unstated': 1.7808855792872944e-07, 'unuttered': 7.701469698269859e-08}"
5532,satellite,"{'cheating': 1.2277033788910514e-06, 'unsportsmanlike': 4.4227734382738195e-08, 'dirty': 8.80423159406702e-06, 'unsporting': 1.0857914320539073e-08, 'foul': 8.793127029332923e-06}"
5533,satellite,"{'unsound': 2.6842776684870894e-06, 'mentally ill': 7.318246086804866e-07, 'unstable': 4.336873113259147e-06, 'precarious': 3.720175726562639e-06, 'fluid': 3.300605400332459e-05}"
5534,verb,"{'unstrung': 2.0201049460058822e-07, 'unstring': 1.143379680058424e-08}"
5535,satellite,"{'undone': 2.9132230970262095e-06, 'unstuck': 3.793326351817876e-08}"
5536,adjective,"{'unfashionable': 3.0898711235718693e-07, 'styleless': 4.203508018069293e-09, 'unstylish': 3.9002316643925005e-09}"
5537,satellite,"{'unsubtle': 2.4163585107240284e-08, 'broad': 5.1829632895879484e-05}"
5538,satellite,"{'inapplicable': 2.218134476635952e-06, 'undesirable': 4.774253948613539e-06, 'unsuitable': 3.018463206088895e-06}"
5539,satellite,"{'unsung': 2.111679279597288e-07, 'unappreciated': 1.9765935490766732e-07, 'unknown': 3.846534993735751e-05, 'obscure': 1.3129316547628202e-05, 'unvalued': 5.462104620403576e-08}"
5540,adjective,"{'timid': 4.413553612322311e-06, 'uncertain': 1.6386711081316586e-05, 'diffident': 4.999002730508264e-07, 'incertain': 2.7865942578739623e-08, 'unsure': 6.956984826468862e-07, 'shy': 3.5779485208887645e-06}"
5541,satellite,"{'unsuspecting': 9.984127163088253e-07, 'unsuspicious': 3.4126904973025704e-07}"
5542,satellite,"{'staunch': 1.3015955316520038e-06, 'unswerving': 3.744673285950461e-07, 'steadfast': 1.7433636529204321e-06, 'undeviating': 4.1533445020364255e-07}"
5543,satellite,"{'unsympathizing': 3.811694508909283e-08, 'unsympathising': 1.976218333677229e-08}"
5544,satellite,"{'reticent': 4.283143660244973e-07, 'untalkative': 3.0810902094880443e-09}"
5545,adjective,"{'wild': 4.562379912039475e-05, 'untamed': 3.462049041435088e-07}"
5546,verb,"{'unscramble': 2.756569979395765e-08, 'extricate': 1.260994654825942e-06, 'disencumber': 5.926356234657704e-08, 'untangle': 9.409774564060942e-08, 'unknot': 7.95764665097038e-09, 'disentangle': 4.20890930235017e-07, 'unpick': 1.187901011722079e-08, 'unravel': 8.282101523918229e-07, 'untangled': 4.7200554043299e-08}"
5547,satellite,"{'untouched': 3.0138231710280357e-06, 'untasted': 1.4464650520283855e-07}"
5548,verb,"{'unteach': 1.4193836324830225e-08, 'untaught': 4.793385316124033e-07}"
5549,satellite,"{'untempting': 7.414302727068237e-09, 'uninviting': 2.61736983510991e-07, 'unattractive': 8.081969220322653e-07}"
5550,satellite,"{'untenable': 1.833257179046641e-06, 'indefensible': 7.209100691823983e-07}"
5551,satellite,"{'untried': 1.2872867517409985e-06, 'unseasoned': 1.0164378955970837e-07, 'untested': 2.53789678535502e-07, 'young': 0.00018755112675043048}"
5552,satellite,"{'well-meaning': 6.96749849603825e-07, 'unthreatening': 1.9321039609784174e-08}"
5553,verb,"{'untied': 5.054438346814216e-07, 'loosen': 1.2495153746223366e-06, 'undo': 1.5062131198774435e-06, 'unbrace': 9.199026151996526e-09, 'unlace': 2.8373600456072094e-08, 'untie': 3.415222385726162e-07}"
5554,adjective,"{'untied': 5.054438346814216e-07, 'unlaced': 4.545730632045343e-08, 'unfastened': 2.4112285704845687e-07}"
5555,satellite,"{'untimely': 2.127224935080414e-06, 'wrong': 5.326036353170275e-05, 'ill-timed': 3.567299456993056e-07, 'premature': 5.722513913795339e-06, 'unseasonable': 8.205766204526269e-07}"
5556,adverb,"{'prematurely': 1.8746654856936398e-06, 'untimely': 2.127224935080414e-06}"
5557,satellite,"{'unweary': 9.036057677115156e-09, 'untired': 7.480382592154265e-08, 'unwearied': 1.6169985963138104e-06}"
5558,satellite,"{'untouchable': 1.4869269026503183e-07, 'unobtainable': 2.951805655524308e-07, 'unassailable': 4.1458772520923134e-07, 'unprocurable': 2.530823147890987e-08, 'inaccessible': 3.31961522727582e-06}"
5559,satellite,"{'unswayed': 2.1015092633257372e-08, 'untasted': 1.4464650520283855e-07, 'untouched': 3.0138231710280357e-06, 'uninfluenced': 4.980273825868887e-07}"
5560,satellite,"{'untrue': 2.7925285550499846e-06, 'false': 4.689235990538401e-05, 'out of true': 3.514493637110539e-08}"
5561,adjective,"{'untrusty': 5.762067845861148e-09, 'untrustworthy': 4.3220730023458115e-07}"
5562,verb,"{'untwist': 5.436320100775929e-08, 'untwisted': 9.508080405223666e-08}"
5563,satellite,"{'fresh': 5.360813708416197e-05, 'idle': 1.522227134229833e-05, 'unused': 2.6219740633497544e-06}"
5564,adjective,"{'strange': 4.1418861225686776e-05, 'unusual': 2.36644642751399e-05}"
5565,satellite,"{'unnameable': 3.018997770619027e-08, 'unpronounceable': 6.814074108015064e-08, 'indescribable': 1.4337205678605566e-06, 'unspeakable': 2.175313874417075e-06, 'untellable': 5.9898254702694744e-09, 'ineffable': 9.409204206535673e-07, 'indefinable': 4.696443717478671e-07, 'unutterable': 8.847863082684392e-07}"
5566,satellite,"{'unsung': 2.111679279597288e-07, 'unappreciated': 1.9765935490766732e-07, 'unvalued': 5.462104620403576e-08}"
5567,adjective,"{'unvarying': 7.621792837971499e-07, 'unvaried': 3.0814906654823833e-07}"
5568,satellite,"{'unvarnished': 2.4603939141838495e-07, 'unstained': 4.1009715518792564e-07, 'plain': 5.57416543230211e-05}"
5569,adjective,"{'unvarying': 7.621792837971499e-07, 'unvaried': 3.0814906654823833e-07, 'uniform': 3.489231060793669e-05}"
5570,verb,"{'unveiled': 9.180128900217746e-07, 'unveil': 2.8432292184424865e-07, 'reveal': 1.1970768932464587e-05, 'uncover': 1.0540683437377456e-06, 'bring out': 2.5986656222095532e-06}"
5571,satellite,"{'unvulcanised': 7.760038200039986e-09, 'unvulcanized': 2.586031429093763e-08}"
5572,satellite,"{'unwished-for': 7.875739329323736e-09, 'unwished': 2.5509374548914064e-08, 'unwelcome': 1.6629981026575933e-06}"
5573,adjective,"{'unmanageable': 7.868307070882723e-07, 'unwieldy': 1.057564665390721e-06}"
5574,satellite,"{'unwilled': 1.0885618127629571e-08, 'unintentional': 7.65160549246416e-07}"
5575,satellite,"{'unknowing': 2.402182507115292e-07, 'unintentional': 7.65160549246416e-07, 'ignorant': 2.1359765544172057e-05, 'unplanned': 3.3680109494039366e-07, 'unwitting': 2.16269552828679e-07, 'unknowledgeable': 7.221882779571561e-09}"
5576,satellite,"{'unworldly': 1.4472974632102634e-07, 'unsophisticated': 7.420144048033552e-07}"
5577,satellite,"{'unworried': 1.8451196781448173e-08, 'carefree': 3.3594031793665884e-07}"
5578,satellite,"{'slimy': 8.58375972527591e-07, 'wretched': 1.1289409648579586e-05, 'undeserving': 5.460978029887853e-07, 'unworthy': 9.205307615658048e-06, 'despicable': 1.3643261092559962e-06, 'worthless': 5.782336642963568e-06, 'ugly': 5.553492164540626e-06, 'vile': 5.051856833880795e-06}"
5579,verb,"{'upend': 1.3233879415312758e-08, 'upended': 5.51219042141213e-08}"
5580,verb,"{'pick up': 4.589362785821144e-06, 'uplift': 1.5932879144645284e-06, 'lift up': 1.6293493412009215e-06, 'elate': 2.909005725151958e-07, 'intoxicate': 1.969560483649132e-07, 'uplifted': 1.3361886215270422e-06}"
5581,satellite,"{'uppity': 3.222568888678524e-08, 'overweening': 3.8272572533084783e-07}"
5582,verb,"{'upraised': 3.474508262501583e-07, 'raise': 4.260900279952447e-05, 'upraise': 4.950755360078677e-08, 'resurrect': 1.481102830477949e-07}"
5583,satellite,"{'unsloped': 3.754082709429142e-10, 'good': 0.0005293735133533647, 'upright': 1.0606365970161924e-05, 'just': 0.00030127274738034424}"
5584,satellite,"{'screaming': 2.365899094862984e-06, 'rackety': 1.5864319499517863e-08, 'hilarious': 4.176763447086679e-07, 'rip-roaring': 1.283788719394761e-08, 'uproarious': 1.8772751477341873e-07}"
5585,satellite,"{'solid': 4.31196128377085e-05, 'upstanding': 2.767156328331386e-07}"
5586,adverb,"{'upstream': 3.001189691431025e-06, 'upriver': 1.615216182151895e-07}"
5587,satellite,"{'retrousse': 1.030271928027463e-08, 'upturned': 7.754705472547604e-07, 'overturned': 2.043842044800638e-06, 'tip-tilted': 8.494301150009513e-09, 'upset': 5.593670520956259e-06}"
5588,satellite,"{'upward': 1.344311943844568e-05, 'up': 0.0008371090146772675}"
5589,satellite,"{'upwind': 1.350280795548728e-07, 'weather': 4.572926171222915e-05}"
5590,adverb,"{'leeward': 1.1432831799094644e-06, 'into the wind': 2.023455145775625e-07, 'against the wind': 3.2346830730889653e-07, 'upwind': 1.350280795548728e-07}"
5591,satellite,"{'polished': 8.952370954442443e-06, 'urbane': 2.754075924750664e-07, 'svelte': 2.9077182955272387e-08, 'refined': 1.074957805120434e-05}"
5592,verb,"{'urbanize': 6.031452853253109e-09, 'urbanise': 1.0826453993413663e-09, 'urbanised': 4.7098552665811486e-08}"
5593,satellite,"{'urbanized': 4.912205705298468e-07, 'urbanised': 4.7098552665811486e-08}"
5594,verb,"{'urbanized': 4.912205705298468e-07, 'urbanize': 6.031452853253109e-09, 'urbanise': 1.0826453993413663e-09}"
5595,verb,"{'expend': 2.8386880976852128e-06, 'utilise': 6.736316244773244e-07, 'practice': 0.000123296245716017, 'used': 0.00043778123483522303, 'employ': 2.7166755125279733e-05, 'apply': 7.113660427630238e-05, 'use': 0.000455797596754155, 'utilize': 5.206036931281721e-06, 'habituate': 1.3639698776618922e-07}"
5596,satellite,"{'exploited': 2.6834731808698456e-06, 'victimized': 3.8986935003063777e-07, 'put-upon': 1.1572806636556827e-08, 'secondhand': 5.04253592563223e-07, 'used': 0.00043778123483522303, 'victimised': 7.313203325371103e-08, 'ill-used': 2.557105730939108e-07}"
5597,satellite,"{'wont to': 3.92513204810891e-06, 'used to': 7.432983586794685e-05}"
5598,adjective,"{'useful': 7.132756713277849e-05, 'utile': 2.146834916698101e-07}"
5599,satellite,"{'useful': 7.132756713277849e-05, 'utilitarian': 1.291288613235406e-06}"
5600,satellite,"{'common': 0.00022464853609011624, 'usual': 7.749522956362942e-05}"
5601,verb,"{'utilise': 6.736316244773244e-07, 'employ': 2.7166755125279733e-05, 'apply': 7.113660427630238e-05, 'use': 0.000455797596754155, 'utilize': 5.206036931281721e-06, 'utilised': 1.5492753572154102e-06}"
5602,adjective,"{'utopian': 5.544825867117351e-07, 'Utopian': 6.455769149507253e-07}"
5603,verb,"{'verbalise': 6.614432452819129e-09, 'utter': 1.312922685196635e-05, 'mouth': 6.061611243771425e-05, 'verbalize': 1.0297890838400061e-07, 'emit': 1.392175489888175e-06, 'let out': 1.937367549114293e-06, 'give tongue to': 2.70415464981828e-09, 'let loose': 1.2008988325602604e-06, 'express': 5.614653998921539e-05, 'speak': 8.694973451789236e-05, 'talk': 5.01162607247844e-05}"
5604,satellite,"{'utter': 1.312922685196635e-05, 'gross': 3.185639628642382e-05, 'staring': 4.925427709862134e-06, 'complete': 0.00012094028110880364, 'stark': 1.4776364940810118e-06, 'double-dyed': 1.8663539772193076e-08, 'arrant': 3.7611731272268036e-07, 'thoroughgoing': 4.408968684351058e-07, 'everlasting': 9.702505607693442e-06, 'unadulterated': 4.7667947807746827e-07, 'pure': 5.47085310240047e-05, 'perfect': 6.656185450268332e-05, 'consummate': 2.636368136557607e-06, 'sodding': 6.743955484685613e-08, 'dead': 8.074923261674841e-05}"
5605,satellite,"{'wispy': 9.460883012987502e-08, 'obscure': 1.3129316547628202e-05, 'vague': 1.0135887441606912e-05, 'faint': 1.2731003484859064e-05, 'dim': 7.301283646161236e-06, 'shadowy': 2.4454420299005136e-06}"
5606,satellite,"{'egotistical': 2.9531234468357824e-07, 'sleeveless': 1.531627306831514e-07, 'self-conceited': 8.436193010793563e-08, 'fruitless': 3.6766600897076645e-06, 'futile': 3.1382220313084427e-06, 'egotistic': 1.065304407303643e-07, 'conceited': 1.0687044673287998e-06, 'bootless': 1.9280162872594293e-07, 'swollen-headed': 2.124621232469921e-09, 'vain': 3.4686409054436095e-05, 'swollen': 4.780652908341148e-06}"
5607,adjective,"{'valetudinarian': 9.655071472047562e-08, 'valetudinary': 2.9484629236387913e-08}"
5608,satellite,"{'valorous': 3.33240539328503e-07, 'valiant': 3.525878922355584e-06}"
5609,verb,"{'validate': 1.1124776816803447e-06, 'validated': 1.2499426492110526e-06, 'formalize': 1.5444593839487307e-07, 'corroborate': 1.1516716756598393e-06, 'formalise': 2.5197478642887837e-08}"
5610,verb,"{'gasify': 1.7968913269599674e-08, 'zap': 4.4261522020332175e-08, 'vaporise': 1.7636754016694006e-08, 'evaporate': 1.4901294775808167e-06, 'vanish': 3.1364339725524147e-06, 'fly': 2.4082426055988162e-05, 'vaporized': 3.2007101628094904e-07, 'vaporize': 1.4434443935291044e-07, 'aerify': 8.727964895409644e-10}"
5611,satellite,"{'varying': 2.3260671882672756e-05, 'variable': 2.2811124943865003e-05}"
5612,adjective,"{'vegetative': 1.869588800786914e-06, 'vegetal': 2.13257164902672e-07, 'vegetational': 1.0411937120794837e-07}"
5613,satellite,"{'vegetative': 1.869588800786914e-06, 'vegetal': 2.13257164902672e-07}"
5614,adjective,"{'vegetive': 3.3535133175952716e-09, 'vegetative': 1.869588800786914e-06, 'vegetal': 2.13257164902672e-07, 'vegetational': 1.0411937120794837e-07}"
5615,adjective,"{'vegetative': 1.869588800786914e-06, 'vegetive': 3.3535133175952716e-09}"
5616,verb,"{'veil': 7.145708177808776e-06, 'hide': 1.2294967566917469e-05, 'veiled': 2.1512742337731226e-06, 'obliterate': 9.476896589119434e-07, 'obscure': 1.3129316547628202e-05, 'blot out': 3.7791329311527156e-07}"
5617,verb,"{'vein': 1.40380847691389e-05, 'veined': 7.560638354407966e-07}"
5618,satellite,"{'venose': 9.101665601422825e-09, 'veined': 7.560638354407966e-07, 'veinlike': 8.969144532062692e-09}"
5619,satellite,"{'velvet': 4.927770562679661e-06, 'velvety': 6.396581075703519e-07, 'velvet-textured': 5.375907944397141e-10}"
5620,satellite,"{'velvety-haired': 6.14170350171981e-11, 'velvety-furred': 2.890085574752083e-11}"
5621,satellite,"{'excusable': 1.1624798637411972e-06, 'minor': 3.1268498582549364e-05, 'venial': 5.26740183613411e-07, 'forgivable': 3.4738901004280576e-08}"
5622,satellite,"{'deadly': 7.633051412117969e-06, 'venomous': 1.051311445601472e-06, 'virulent': 1.7678446453692825e-06, 'poisonous': 5.010592306324749e-06, 'vicious': 6.2226374008395635e-06}"
5623,verb,"{'air out': 1.8389996621672734e-07, 'vent': 5.240271729859295e-06, 'air': 0.00017865739618067093, 'ventilate': 3.1514471575667116e-07, 'give vent': 2.5149360748945777e-07, 'vented': 1.019251910457945e-06}"
5624,verb,"{'air out': 1.8389996621672734e-07, 'vent': 5.240271729859295e-06, 'ventilated': 2.1664089134873537e-06, 'air': 0.00017865739618067093, 'ventilate': 3.1514471575667116e-07, 'give vent': 2.5149360748945777e-07}"
5625,satellite,"{'ventricous': 1.8311721114411982e-10, 'ventricose': 2.2600014804161117e-07}"
5626,satellite,"{'audacious': 1.38792652650275e-06, 'venturous': 1.73751083883585e-07, 'venturesome': 2.356458998483464e-07, 'daring': 8.383836513237369e-06}"
5627,satellite,"{'right': 0.00040490242800854474, 'veracious': 2.1449254190898704e-07}"
5628,verb,"{'verify': 4.236009982630146e-06, 'affirm': 7.389409869243864e-06, 'avow': 1.6823518507256142e-06, 'aver': 1.918417016253719e-06, 'swan': 1.3493155361669624e-06, 'control': 0.00016231772483751934, 'assert': 1.3366318297324326e-05, 'swear': 9.050890952261935e-06, 'verified': 7.297062919126468e-06}"
5629,verb,"{'verifying': 1.1409256453968431e-06, 'verify': 4.236009982630146e-06, 'affirm': 7.389409869243864e-06, 'avow': 1.6823518507256142e-06, 'aver': 1.918417016253719e-06, 'swan': 1.3493155361669624e-06, 'control': 0.00016231772483751934, 'assert': 1.3366318297324326e-05, 'swear': 9.050890952261935e-06}"
5630,satellite,"{'bona fide': 4.160534797460427e-06, 'veritable': 1.999970037981517e-06, 'unquestionable': 2.4673579815553803e-06, 'authentic': 8.13029462939258e-06, 'regular': 7.017650898474546e-05}"
5631,satellite,"{'vermicular': 9.089154873268254e-08, 'vermiculated': 3.34014033189672e-08, 'vermiculate': 1.363375803213961e-08}"
5632,satellite,"{'giddy': 1.531902724928848e-06, 'vertiginous': 7.710493938589763e-08, 'woozy': 3.239117694826407e-08, 'dizzy': 1.0750643941886646e-06}"
5633,satellite,"{'vesicatory': 1.4401502564699436e-08, 'vesicant': 3.7648507841712436e-08}"
5634,satellite,"{'virtuous': 9.046951693034168e-06, 'pure': 5.47085310240047e-05, 'virgin': 5.792760990103973e-06, 'vestal': 2.8469739179593866e-07, 'virginal': 2.517339003012919e-07}"
5635,verb,"{'enthrone': 6.947068009813084e-08, 'vested': 1.6636008600164944e-05, 'invest': 6.8861650858610985e-06, 'robe': 4.832449020248781e-06, 'vest': 4.183214435051254e-06}"
5636,satellite,"{'rudimentary': 1.967163527628192e-06, 'vestigial': 2.5864425361322905e-07}"
5637,satellite,"{'criminal': 3.457511466841458e-05, 'savage': 1.133524689444661e-05, 'venomous': 1.051311445601472e-06, 'barbarous': 7.036553731026569e-06, 'roughshod': 7.761501526172513e-08, 'brutal': 4.170078460679552e-06, 'condemnable': 4.94701799752937e-08, 'deplorable': 3.5055499119884058e-06, 'fell': 6.48255565971198e-05, 'evil': 5.793942007132649e-05, 'poisonous': 5.010592306324749e-06, 'cruel': 1.5949945810241452e-05, 'reprehensible': 1.0307105171542778e-06, 'vicious': 6.2226374008395635e-06}"
5638,verb,"{'victimise': 1.166730775117924e-08, 'victimised': 7.313203325371103e-08, 'victimize': 4.192447535712696e-08}"
5639,satellite,"{'tearing': 3.3851376987921018e-06, 'vehement': 2.351818920900156e-06, 'fierce': 1.0154573167462576e-05, 'wild': 4.562379912039475e-05, 'crimson': 5.161068734676155e-06, 'trigger-happy': 1.8896694711596236e-08, 'violent': 2.715316562188142e-05, 'red': 8.678909922010465e-05}"
5640,satellite,"{'violet-flowered': 1.2705478978789483e-09, 'violet-colored': 2.322995266369327e-08, 'violet-coloured': 5.918566435961284e-08}"
5641,satellite,"{'violet-tinted': 4.767448630640612e-09, 'violet-tinged': 2.3636817474726237e-09}"
5642,adjective,"{'virucidal': 1.0428014931780242e-08, 'viricidal': 3.6771494115291165e-09}"
5643,adjective,"{'potent': 5.479075899766778e-06, 'virile': 5.644632909843183e-07}"
5644,satellite,"{'practical': 6.712581094659554e-05, 'virtual': 4.6309666439673265e-06}"
5645,satellite,"{'critical': 3.874804317338715e-05, 'life-sustaining': 8.782033011610628e-08, 'vital': 2.293375331092368e-05, 'lively': 1.2703557724821559e-05, 'full of life': 4.731769858046914e-07}"
5646,verb,"{'vitalise': 8.812260415132637e-09, 'vitalize': 8.761366954926019e-08, 'vitalizing': 1.3864375325423494e-07}"
5647,verb,"{'deflower': 2.0603458867982566e-08, 'void': 2.2684619981502675e-05, 'mar': 3.3870221626035703e-06, 'debauch': 4.850293913605974e-07, 'impair': 3.4466599629123453e-06, 'corrupt': 9.739376625393732e-06, 'spoil': 5.262549991218166e-06, 'debase': 4.510837228451014e-07, 'demoralise': 3.71174581335892e-08, 'vitiate': 7.924526471877585e-07, 'profane': 3.989056128196627e-06, 'deprave': 1.1519185445373107e-07, 'misdirect': 3.545634671442324e-08, 'subvert': 1.3334755971423468e-06, 'pervert': 9.342421852901828e-07, 'vitiated': 1.3337449415925816e-06, 'invalidate': 1.7932552494384452e-06, 'demoralize': 1.786429237136997e-07}"
5648,verb,"{'volatilize': 1.0365689529265248e-07, 'volatilised': 9.076839145419458e-08, 'volatilise': 2.7498645455693945e-08}"
5649,verb,"{'volatilize': 1.0365689529265248e-07, 'volatilized': 3.7921326821918917e-07, 'volatilise': 2.7498645455693945e-08}"
5650,adjective,"{'volumetric': 1.1722357438448907e-06, 'volumetrical': 5.292183440063097e-09}"
5651,satellite,"{'twisting': 2.3876967629023352e-06, 'voluminous': 2.7883258014761045e-06, 'winding': 1.018818583087153e-05, 'twisty': 2.751221066220616e-08, 'copious': 5.8090600858770035e-06, 'tortuous': 1.182832834255686e-06}"
5652,verb,"{'offer': 6.379353484841938e-05, 'volunteer': 6.670653558351413e-06}"
